B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101716e+003	2.027000e+004		6.977660e+002	3.133333e+003		5.417160e+002	1.875556e+003		2.982160e+002	1.183333e+003		
1.100716e+003	1.975000e+004		6.977160e+002	2.923333e+003		5.416660e+002	1.986667e+003		2.981660e+002	1.250000e+003		
1.099716e+003	1.956000e+004		6.976660e+002	2.900000e+003		5.416160e+002	1.897778e+003		2.981160e+002	1.086667e+003		
1.098716e+003	1.971000e+004		6.976160e+002	2.986667e+003		5.415660e+002	1.906667e+003		2.980660e+002	1.050000e+003		
1.097716e+003	2.051000e+004		6.975660e+002	3.056667e+003		5.415160e+002	1.948889e+003		2.980160e+002	1.070000e+003		
1.096716e+003	2.135000e+004		6.975160e+002	2.960000e+003		5.414660e+002	1.897778e+003		2.979660e+002	1.090000e+003		
1.095716e+003	2.111000e+004		6.974660e+002	2.986667e+003		5.414160e+002	1.911111e+003		2.979160e+002	1.126667e+003		
1.094716e+003	2.032000e+004		6.974160e+002	3.010000e+003		5.413660e+002	1.986667e+003		2.978660e+002	1.133333e+003		
1.093716e+003	2.005000e+004		6.973660e+002	3.036667e+003		5.413160e+002	1.960000e+003		2.978160e+002	1.033333e+003		
1.092716e+003	2.086000e+004		6.973160e+002	2.973333e+003		5.412660e+002	1.940000e+003		2.977660e+002	1.120000e+003		
1.091716e+003	2.122000e+004		6.972660e+002	2.986667e+003		5.412160e+002	1.913333e+003		2.977160e+002	1.173333e+003		
1.090716e+003	2.058000e+004		6.972160e+002	2.926667e+003		5.411660e+002	1.942222e+003		2.976660e+002	1.146667e+003		
1.089716e+003	2.045000e+004		6.971660e+002	3.133333e+003		5.411160e+002	1.855556e+003		2.976160e+002	1.126667e+003		
1.088716e+003	2.027000e+004		6.971160e+002	2.886667e+003		5.410660e+002	1.960000e+003		2.975660e+002	1.163333e+003		
1.087716e+003	2.107000e+004		6.970660e+002	2.926667e+003		5.410160e+002	1.900000e+003		2.975160e+002	1.116667e+003		
1.086716e+003	2.042000e+004		6.970160e+002	2.920000e+003		5.409660e+002	1.864444e+003		2.974660e+002	1.076667e+003		
1.085716e+003	2.000000e+004		6.969660e+002	2.780000e+003		5.409160e+002	1.915556e+003		2.974160e+002	1.030000e+003		
1.084716e+003	2.027000e+004		6.969160e+002	2.716667e+003		5.408660e+002	1.995556e+003		2.973660e+002	1.140000e+003		
1.083716e+003	1.977000e+004		6.968660e+002	2.723333e+003		5.408160e+002	2.022222e+003		2.973160e+002	1.113333e+003		
1.082716e+003	2.077000e+004		6.968160e+002	2.730000e+003		5.407660e+002	1.893333e+003		2.972660e+002	1.146667e+003		
1.081716e+003	2.014000e+004		6.967660e+002	2.646667e+003		5.407160e+002	1.795556e+003		2.972160e+002	1.170000e+003		
1.080716e+003	2.028000e+004		6.967160e+002	2.693333e+003		5.406660e+002	1.873333e+003		2.971660e+002	9.800000e+002		
1.079716e+003	1.965000e+004		6.966660e+002	2.813333e+003		5.406160e+002	1.882222e+003		2.971160e+002	1.093333e+003		
1.078716e+003	1.977000e+004		6.966160e+002	2.836667e+003		5.405660e+002	1.915556e+003		2.970660e+002	1.146667e+003		
1.077716e+003	2.052000e+004		6.965660e+002	2.850000e+003		5.405160e+002	1.808889e+003		2.970160e+002	1.133333e+003		
1.076716e+003	2.049000e+004		6.965160e+002	2.846667e+003		5.404660e+002	1.908889e+003		2.969660e+002	1.123333e+003		
1.075716e+003	2.053000e+004		6.964660e+002	2.730000e+003		5.404160e+002	1.946667e+003		2.969160e+002	1.150000e+003		
1.074716e+003	2.057000e+004		6.964160e+002	2.800000e+003		5.403660e+002	1.826667e+003		2.968660e+002	1.060000e+003		
1.073716e+003	2.029000e+004		6.963660e+002	2.753333e+003		5.403160e+002	1.897778e+003		2.968160e+002	1.183333e+003		
1.072716e+003	2.090000e+004		6.963160e+002	2.676667e+003		5.402660e+002	1.920000e+003		2.967660e+002	1.106667e+003		
1.071716e+003	2.107000e+004		6.962660e+002	2.720000e+003		5.402160e+002	1.957778e+003		2.967160e+002	1.076667e+003		
1.070716e+003	2.040000e+004		6.962160e+002	2.733333e+003		5.401660e+002	1.906667e+003		2.966660e+002	1.100000e+003		
1.069716e+003	2.048000e+004		6.961660e+002	2.640000e+003		5.401160e+002	1.860000e+003		2.966160e+002	1.103333e+003		
1.068716e+003	2.097000e+004		6.961160e+002	2.723333e+003		5.400660e+002	1.835556e+003		2.965660e+002	9.866667e+002		
1.067716e+003	2.017000e+004		6.960660e+002	2.720000e+003		5.400160e+002	1.804444e+003		2.965160e+002	1.023333e+003		
1.066716e+003	2.057000e+004		6.960160e+002	2.740000e+003		5.399660e+002	1.904444e+003		2.964660e+002	9.433333e+002		
1.065716e+003	2.067000e+004		6.959660e+002	2.770000e+003		5.399160e+002	1.882222e+003		2.964160e+002	1.020000e+003		
1.064716e+003	2.128000e+004		6.959160e+002	2.800000e+003		5.398660e+002	1.940000e+003		2.963660e+002	1.000000e+003		
1.063716e+003	2.044000e+004		6.958660e+002	2.850000e+003		5.398160e+002	1.726667e+003		2.963160e+002	1.070000e+003		
1.062716e+003	2.066000e+004		6.958160e+002	2.736667e+003		5.397660e+002	1.873333e+003		2.962660e+002	1.060000e+003		
1.061716e+003	2.108000e+004		6.957660e+002	2.650000e+003		5.397160e+002	1.924444e+003		2.962160e+002	1.033333e+003		
1.060716e+003	2.085000e+004		6.957160e+002	2.673333e+003		5.396660e+002	1.835556e+003		2.961660e+002	9.600000e+002		
1.059716e+003	2.086000e+004		6.956660e+002	2.716667e+003		5.396160e+002	1.731111e+003		2.961160e+002	1.056667e+003		
1.058716e+003	2.091000e+004		6.956160e+002	2.750000e+003		5.395660e+002	1.864444e+003		2.960660e+002	1.043333e+003		
1.057716e+003	2.086000e+004		6.955660e+002	2.686667e+003		5.395160e+002	1.853333e+003		2.960160e+002	1.150000e+003		
1.056716e+003	2.137000e+004		6.955160e+002	2.666667e+003		5.394660e+002	1.833333e+003		2.959660e+002	9.833333e+002		
1.055716e+003	2.170000e+004		6.954660e+002	2.780000e+003		5.394160e+002	1.833333e+003		2.959160e+002	1.096667e+003		
1.054716e+003	2.143000e+004		6.954160e+002	2.660000e+003		5.393660e+002	1.817778e+003		2.958660e+002	1.053333e+003		
1.053716e+003	2.110000e+004		6.953660e+002	2.746667e+003		5.393160e+002	1.833333e+003		2.958160e+002	1.110000e+003		
1.052716e+003	2.075000e+004		6.953160e+002	2.693333e+003		5.392660e+002	1.826667e+003		2.957660e+002	1.070000e+003		
1.051716e+003	2.120000e+004		6.952660e+002	2.713333e+003		5.392160e+002	1.842222e+003		2.957160e+002	9.966667e+002		
1.050716e+003	2.102000e+004		6.952160e+002	2.720000e+003		5.391660e+002	1.877778e+003		2.956660e+002	1.053333e+003		
1.049716e+003	2.081000e+004		6.951660e+002	2.723333e+003		5.391160e+002	1.815556e+003		2.956160e+002	9.566667e+002		
1.048716e+003	2.126000e+004		6.951160e+002	2.716667e+003		5.390660e+002	1.940000e+003		2.955660e+002	9.766667e+002		
1.047716e+003	2.112000e+004		6.950660e+002	2.650000e+003		5.390160e+002	1.817778e+003		2.955160e+002	1.010000e+003		
1.046716e+003	2.106000e+004		6.950160e+002	2.776667e+003		5.389660e+002	1.811111e+003		2.954660e+002	1.056667e+003		
1.045716e+003	2.183000e+004		6.949660e+002	2.650000e+003		5.389160e+002	1.753333e+003		2.954160e+002	1.023333e+003		
1.044716e+003	2.108000e+004		6.949160e+002	2.740000e+003		5.388660e+002	1.831111e+003		2.953660e+002	1.096667e+003		
1.043716e+003	2.077000e+004		6.948660e+002	2.660000e+003		5.388160e+002	1.868889e+003		2.953160e+002	1.043333e+003		
1.042716e+003	2.126000e+004		6.948160e+002	2.653333e+003		5.387660e+002	1.888889e+003		2.952660e+002	1.000000e+003		
1.041716e+003	2.124000e+004		6.947660e+002	2.606667e+003		5.387160e+002	1.864444e+003		2.952160e+002	1.033333e+003		
1.040716e+003	2.139000e+004		6.947160e+002	2.803333e+003		5.386660e+002	1.962222e+003		2.951660e+002	1.026667e+003		
1.039716e+003	2.169000e+004		6.946660e+002	2.673333e+003		5.386160e+002	1.957778e+003		2.951160e+002	1.043333e+003		
1.038716e+003	2.158000e+004		6.946160e+002	2.753333e+003		5.385660e+002	1.800000e+003		2.950660e+002	1.013333e+003		
1.037716e+003	2.126000e+004		6.945660e+002	2.796667e+003		5.385160e+002	1.853333e+003		2.950160e+002	1.013333e+003		
1.036716e+003	2.092000e+004		6.945160e+002	2.876667e+003		5.384660e+002	1.780000e+003		2.949660e+002	1.060000e+003		
1.035716e+003	2.173000e+004		6.944660e+002	2.663333e+003		5.384160e+002	1.904444e+003		2.949160e+002	1.113333e+003		
1.034716e+003	2.138000e+004		6.944160e+002	2.516667e+003		5.383660e+002	1.862222e+003		2.948660e+002	9.166667e+002		
1.033716e+003	2.085000e+004		6.943660e+002	2.766667e+003		5.383160e+002	1.926667e+003		2.948160e+002	9.733333e+002		
1.032716e+003	2.096000e+004		6.943160e+002	2.720000e+003		5.382660e+002	1.828889e+003		2.947660e+002	9.966667e+002		
1.031716e+003	2.118000e+004		6.942660e+002	2.690000e+003		5.382160e+002	1.873333e+003		2.947160e+002	1.033333e+003		
1.030716e+003	2.162000e+004		6.942160e+002	2.813333e+003		5.381660e+002	1.882222e+003		2.946660e+002	1.093333e+003		
1.029716e+003	2.172000e+004		6.941660e+002	2.910000e+003		5.381160e+002	1.775556e+003		2.946160e+002	9.633333e+002		
1.028716e+003	2.149000e+004		6.941160e+002	2.786667e+003		5.380660e+002	1.840000e+003		2.945660e+002	9.366667e+002		
1.027716e+003	2.159000e+004		6.940660e+002	2.660000e+003		5.380160e+002	1.866667e+003		2.945160e+002	1.043333e+003		
1.026716e+003	2.188000e+004		6.940160e+002	2.806667e+003		5.379660e+002	1.917778e+003		2.944660e+002	1.130000e+003		
1.025716e+003	2.257000e+004		6.939660e+002	2.680000e+003		5.379160e+002	1.953333e+003		2.944160e+002	1.040000e+003		
1.024716e+003	2.189000e+004		6.939160e+002	2.743333e+003		5.378660e+002	2.002222e+003		2.943660e+002	1.076667e+003		
1.023716e+003	2.175000e+004		6.938660e+002	2.810000e+003		5.378160e+002	1.953333e+003		2.943160e+002	1.043333e+003		
1.022716e+003	2.202000e+004		6.938160e+002	2.720000e+003		5.377660e+002	1.980000e+003		2.942660e+002	1.026667e+003		
1.021716e+003	2.213000e+004		6.937660e+002	2.720000e+003		5.377160e+002	1.897778e+003		2.942160e+002	1.043333e+003		
1.020716e+003	2.160000e+004		6.937160e+002	2.713333e+003		5.376660e+002	1.920000e+003		2.941660e+002	1.013333e+003		
1.019716e+003	2.163000e+004		6.936660e+002	2.696667e+003		5.376160e+002	1.784444e+003		2.941160e+002	1.063333e+003		
1.018716e+003	2.215000e+004		6.936160e+002	2.653333e+003		5.375660e+002	1.831111e+003		2.940660e+002	1.123333e+003		
1.017716e+003	2.204000e+004		6.935660e+002	2.720000e+003		5.375160e+002	1.900000e+003		2.940160e+002	1.160000e+003		
1.016716e+003	2.244000e+004		6.935160e+002	2.786667e+003		5.374660e+002	1.862222e+003		2.939660e+002	1.063333e+003		
1.015716e+003	2.230000e+004		6.934660e+002	2.586667e+003		5.374160e+002	1.900000e+003		2.939160e+002	1.090000e+003		
1.014716e+003	2.173000e+004		6.934160e+002	2.683333e+003		5.373660e+002	1.924444e+003		2.938660e+002	1.030000e+003		
1.013716e+003	2.200000e+004		6.933660e+002	2.763333e+003		5.373160e+002	1.895556e+003		2.938160e+002	1.066667e+003		
1.012716e+003	2.234000e+004		6.933160e+002	2.746667e+003		5.372660e+002	1.911111e+003		2.937660e+002	1.123333e+003		
1.011716e+003	2.238000e+004		6.932660e+002	2.670000e+003		5.372160e+002	1.962222e+003		2.937160e+002	1.026667e+003		
1.010716e+003	2.248000e+004		6.932160e+002	2.823333e+003		5.371660e+002	1.966667e+003		2.936660e+002	1.216667e+003		
1.009716e+003	2.175000e+004		6.931660e+002	2.813333e+003		5.371160e+002	1.975556e+003		2.936160e+002	1.056667e+003		
1.008716e+003	2.215000e+004		6.931160e+002	2.756667e+003		5.370660e+002	1.968889e+003		2.935660e+002	1.073333e+003		
1.007716e+003	2.190000e+004		6.930660e+002	2.836667e+003		5.370160e+002	1.926667e+003		2.935160e+002	1.056667e+003		
1.006716e+003	2.176000e+004		6.930160e+002	2.660000e+003		5.369660e+002	1.920000e+003		2.934660e+002	1.066667e+003		
1.005716e+003	2.311000e+004		6.929660e+002	2.680000e+003		5.369160e+002	1.866667e+003		2.934160e+002	1.100000e+003		
1.004716e+003	2.332000e+004		6.929160e+002	2.656667e+003		5.368660e+002	1.877778e+003		2.933660e+002	1.136667e+003		
1.003716e+003	2.290000e+004		6.928660e+002	2.736667e+003		5.368160e+002	1.911111e+003		2.933160e+002	1.103333e+003		
1.002716e+003	2.250000e+004		6.928160e+002	2.833333e+003		5.367660e+002	2.044444e+003		2.932660e+002	1.106667e+003		
1.001716e+003	2.233000e+004		6.927660e+002	2.803333e+003		5.367160e+002	1.913333e+003		2.932160e+002	9.933333e+002		
1.000716e+003	2.265000e+004		6.927160e+002	2.696667e+003		5.366660e+002	1.913333e+003		2.931660e+002	1.133333e+003		
9.997160e+002	2.288000e+004		6.926660e+002	2.930000e+003		5.366160e+002	1.951111e+003		2.931160e+002	1.053333e+003		
9.987160e+002	2.283000e+004		6.926160e+002	2.690000e+003		5.365660e+002	1.997778e+003		2.930660e+002	1.196667e+003		
9.977160e+002	2.291000e+004		6.925660e+002	2.850000e+003		5.365160e+002	1.933333e+003		2.930160e+002	1.233333e+003		
9.967160e+002	2.276000e+004		6.925160e+002	2.830000e+003		5.364660e+002	1.957778e+003		2.929660e+002	1.126667e+003		
9.957160e+002	2.242000e+004		6.924660e+002	2.776667e+003		5.364160e+002	2.000000e+003		2.929160e+002	1.113333e+003		
9.947160e+002	2.280000e+004		6.924160e+002	2.960000e+003		5.363660e+002	2.093333e+003		2.928660e+002	1.190000e+003		
9.937160e+002	2.292000e+004		6.923660e+002	2.866667e+003		5.363160e+002	1.995556e+003		2.928160e+002	1.116667e+003		
9.927160e+002	2.235000e+004		6.923160e+002	2.826667e+003		5.362660e+002	2.040000e+003		2.927660e+002	1.213333e+003		
