B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101580e+003	1.647000e+004		6.976300e+002	2.806667e+003		5.415800e+002	1.542222e+003		2.980800e+002	8.166667e+002		
1.100580e+003	1.638000e+004		6.975800e+002	2.763333e+003		5.415300e+002	1.642222e+003		2.980300e+002	8.000000e+002		
1.099580e+003	1.617000e+004		6.975300e+002	2.696667e+003		5.414800e+002	1.615556e+003		2.979800e+002	6.933333e+002		
1.098580e+003	1.614000e+004		6.974800e+002	2.593333e+003		5.414300e+002	1.633333e+003		2.979300e+002	7.600000e+002		
1.097580e+003	1.691000e+004		6.974300e+002	2.620000e+003		5.413800e+002	1.575556e+003		2.978800e+002	7.866667e+002		
1.096580e+003	1.644000e+004		6.973800e+002	2.640000e+003		5.413300e+002	1.553333e+003		2.978300e+002	8.433333e+002		
1.095580e+003	1.678000e+004		6.973300e+002	2.703333e+003		5.412800e+002	1.606667e+003		2.977800e+002	7.966667e+002		
1.094580e+003	1.622000e+004		6.972800e+002	2.630000e+003		5.412300e+002	1.595556e+003		2.977300e+002	7.800000e+002		
1.093580e+003	1.733000e+004		6.972300e+002	2.590000e+003		5.411800e+002	1.573333e+003		2.976800e+002	7.700000e+002		
1.092580e+003	1.707000e+004		6.971800e+002	2.866667e+003		5.411300e+002	1.593333e+003		2.976300e+002	8.066667e+002		
1.091580e+003	1.683000e+004		6.971300e+002	2.490000e+003		5.410800e+002	1.557778e+003		2.975800e+002	7.833333e+002		
1.090580e+003	1.633000e+004		6.970800e+002	2.506667e+003		5.410300e+002	1.544444e+003		2.975300e+002	7.666667e+002		
1.089580e+003	1.613000e+004		6.970300e+002	2.623333e+003		5.409800e+002	1.540000e+003		2.974800e+002	7.500000e+002		
1.088580e+003	1.640000e+004		6.969800e+002	2.560000e+003		5.409300e+002	1.568889e+003		2.974300e+002	7.366667e+002		
1.087580e+003	1.638000e+004		6.969300e+002	2.606667e+003		5.408800e+002	1.524444e+003		2.973800e+002	7.966667e+002		
1.086580e+003	1.673000e+004		6.968800e+002	2.600000e+003		5.408300e+002	1.573333e+003		2.973300e+002	7.200000e+002		
1.085580e+003	1.650000e+004		6.968300e+002	2.583333e+003		5.407800e+002	1.615556e+003		2.972800e+002	7.833333e+002		
1.084580e+003	1.605000e+004		6.967800e+002	2.470000e+003		5.407300e+002	1.573333e+003		2.972300e+002	8.200000e+002		
1.083580e+003	1.658000e+004		6.967300e+002	2.586667e+003		5.406800e+002	1.680000e+003		2.971800e+002	7.566667e+002		
1.082580e+003	1.620000e+004		6.966800e+002	2.486667e+003		5.406300e+002	1.620000e+003		2.971300e+002	7.433333e+002		
1.081580e+003	1.689000e+004		6.966300e+002	2.426667e+003		5.405800e+002	1.597778e+003		2.970800e+002	6.666667e+002		
1.080580e+003	1.611000e+004		6.965800e+002	2.670000e+003		5.405300e+002	1.595556e+003		2.970300e+002	7.700000e+002		
1.079580e+003	1.656000e+004		6.965300e+002	2.576667e+003		5.404800e+002	1.484444e+003		2.969800e+002	7.333333e+002		
1.078580e+003	1.636000e+004		6.964800e+002	2.653333e+003		5.404300e+002	1.633333e+003		2.969300e+002	7.233333e+002		
1.077580e+003	1.688000e+004		6.964300e+002	2.623333e+003		5.403800e+002	1.526667e+003		2.968800e+002	7.700000e+002		
1.076580e+003	1.646000e+004		6.963800e+002	2.516667e+003		5.403300e+002	1.504444e+003		2.968300e+002	7.533333e+002		
1.075580e+003	1.592000e+004		6.963300e+002	2.666667e+003		5.402800e+002	1.466667e+003		2.967800e+002	7.433333e+002		
1.074580e+003	1.643000e+004		6.962800e+002	2.470000e+003		5.402300e+002	1.551111e+003		2.967300e+002	8.366667e+002		
1.073580e+003	1.737000e+004		6.962300e+002	2.493333e+003		5.401800e+002	1.660000e+003		2.966800e+002	8.533333e+002		
1.072580e+003	1.660000e+004		6.961800e+002	2.333333e+003		5.401300e+002	1.522222e+003		2.966300e+002	7.100000e+002		
1.071580e+003	1.634000e+004		6.961300e+002	2.516667e+003		5.400800e+002	1.595556e+003		2.965800e+002	7.400000e+002		
1.070580e+003	1.654000e+004		6.960800e+002	2.623333e+003		5.400300e+002	1.575556e+003		2.965300e+002	7.666667e+002		
1.069580e+003	1.651000e+004		6.960300e+002	2.653333e+003		5.399800e+002	1.506667e+003		2.964800e+002	6.966667e+002		
