B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.054122e+003	2.910000e+004		6.957720e+002	3.456667e+003		5.397220e+002	2.571111e+003		2.962220e+002	1.116667e+003		
1.053122e+003	2.883000e+004		6.957220e+002	3.176667e+003		5.396720e+002	2.606667e+003		2.961720e+002	1.190000e+003		
1.052122e+003	2.893000e+004		6.956720e+002	3.396667e+003		5.396220e+002	2.602222e+003		2.961220e+002	1.166667e+003		
1.051122e+003	2.822000e+004		6.956220e+002	3.410000e+003		5.395720e+002	2.508889e+003		2.960720e+002	1.203333e+003		
1.050122e+003	2.771000e+004		6.955720e+002	3.333333e+003		5.395220e+002	2.595556e+003		2.960220e+002	1.206667e+003		
1.049122e+003	2.791000e+004		6.955220e+002	3.366667e+003		5.394720e+002	2.473333e+003		2.959720e+002	1.273333e+003		
1.048122e+003	2.893000e+004		6.954720e+002	3.210000e+003		5.394220e+002	2.380000e+003		2.959220e+002	1.266667e+003		
1.047122e+003	2.882000e+004		6.954220e+002	3.236667e+003		5.393720e+002	2.451111e+003		2.958720e+002	1.206667e+003		
1.046122e+003	2.875000e+004		6.953720e+002	3.243333e+003		5.393220e+002	2.355556e+003		2.958220e+002	1.243333e+003		
1.045122e+003	2.957000e+004		6.953220e+002	3.136667e+003		5.392720e+002	2.522222e+003		2.957720e+002	1.126667e+003		
1.044122e+003	2.954000e+004		6.952720e+002	3.303333e+003		5.392220e+002	2.566667e+003		2.957220e+002	1.110000e+003		
1.043122e+003	2.886000e+004		6.952220e+002	3.336667e+003		5.391720e+002	2.488889e+003		2.956720e+002	1.250000e+003		
1.042122e+003	2.912000e+004		6.951720e+002	3.376667e+003		5.391220e+002	2.500000e+003		2.956220e+002	1.223333e+003		
1.041122e+003	2.878000e+004		6.951220e+002	3.296667e+003		5.390720e+002	2.413333e+003		2.955720e+002	1.083333e+003		
1.040122e+003	2.885000e+004		6.950720e+002	3.240000e+003		5.390220e+002	2.340000e+003		2.955220e+002	1.040000e+003		
1.039122e+003	2.906000e+004		6.950220e+002	3.243333e+003		5.389720e+002	2.466667e+003		2.954720e+002	1.160000e+003		
1.038122e+003	2.910000e+004		6.949720e+002	3.550000e+003		5.389220e+002	2.588889e+003		2.954220e+002	1.080000e+003		
1.037122e+003	2.895000e+004		6.949220e+002	3.456667e+003		5.388720e+002	2.537778e+003		2.953720e+002	1.100000e+003		
1.036122e+003	2.919000e+004		6.948720e+002	3.496667e+003		5.388220e+002	2.442222e+003		2.953220e+002	1.156667e+003		
1.035122e+003	2.848000e+004		6.948220e+002	3.263333e+003		5.387720e+002	2.491111e+003		2.952720e+002	1.133333e+003		
1.034122e+003	2.813000e+004		6.947720e+002	3.270000e+003		5.387220e+002	2.551111e+003		2.952220e+002	1.126667e+003		
1.033122e+003	2.935000e+004		6.947220e+002	3.363333e+003		5.386720e+002	2.428889e+003		2.951720e+002	1.200000e+003		
1.032122e+003	3.026000e+004		6.946720e+002	3.413333e+003		5.386220e+002	2.431111e+003		2.951220e+002	1.170000e+003		
1.031122e+003	2.884000e+004		6.946220e+002	3.343333e+003		5.385720e+002	2.537778e+003		2.950720e+002	1.170000e+003		
1.030122e+003	2.890000e+004		6.945720e+002	3.260000e+003		5.385220e+002	2.508889e+003		2.950220e+002	1.140000e+003		
1.029122e+003	2.970000e+004		6.945220e+002	3.343333e+003		5.384720e+002	2.584444e+003		2.949720e+002	1.140000e+003		
1.028122e+003	2.971000e+004		6.944720e+002	3.326667e+003		5.384220e+002	2.551111e+003		2.949220e+002	1.106667e+003		
1.027122e+003	2.961000e+004		6.944220e+002	3.356667e+003		5.383720e+002	2.504444e+003		2.948720e+002	1.083333e+003		
1.026122e+003	2.980000e+004		6.943720e+002	3.436667e+003		5.383220e+002	2.377778e+003		2.948220e+002	1.116667e+003		
1.025122e+003	3.014000e+004		6.943220e+002	3.363333e+003		5.382720e+002	2.433333e+003		2.947720e+002	1.140000e+003		
1.024122e+003	2.903000e+004		6.942720e+002	3.213333e+003		5.382220e+002	2.360000e+003		2.947220e+002	1.260000e+003		
1.023122e+003	2.905000e+004		6.942220e+002	3.276667e+003		5.381720e+002	2.515556e+003		2.946720e+002	1.153333e+003		
1.022122e+003	2.976000e+004		6.941720e+002	3.416667e+003		5.381220e+002	2.531111e+003		2.946220e+002	1.056667e+003		
1.021122e+003	2.934000e+004		6.941220e+002	3.443333e+003		5.380720e+002	2.524444e+003		2.945720e+002	1.123333e+003		
1.020122e+003	2.971000e+004		6.940720e+002	3.350000e+003		5.380220e+002	2.400000e+003		2.945220e+002	1.223333e+003		
1.019122e+003	2.978000e+004		6.940220e+002	3.430000e+003		5.379720e+002	2.451111e+003		2.944720e+002	1.210000e+003		
1.018122e+003	2.949000e+004		6.939720e+002	3.373333e+003		5.379220e+002	2.413333e+003		2.944220e+002	1.210000e+003		
1.017122e+003	2.959000e+004		6.939220e+002	3.320000e+003		5.378720e+002	2.546667e+003		2.943720e+002	1.156667e+003		
1.016122e+003	2.964000e+004		6.938720e+002	3.326667e+003		5.378220e+002	2.422222e+003		2.943220e+002	1.186667e+003		
1.015122e+003	3.020000e+004		6.938220e+002	3.420000e+003		5.377720e+002	2.482222e+003		2.942720e+002	1.146667e+003		
1.014122e+003	3.027000e+004		6.937720e+002	3.466667e+003		5.377220e+002	2.468889e+003		2.942220e+002	1.256667e+003		
1.013122e+003	2.952000e+004		6.937220e+002	3.500000e+003		5.376720e+002	2.466667e+003		2.941720e+002	1.216667e+003		
1.012122e+003	2.992000e+004		6.936720e+002	3.536667e+003		5.376220e+002	2.417778e+003		2.941220e+002	1.210000e+003		
1.011122e+003	3.118000e+004		6.936220e+002	3.380000e+003		5.375720e+002	2.497778e+003		2.940720e+002	1.206667e+003		
1.010122e+003	2.941000e+004		6.935720e+002	3.266667e+003		5.375220e+002	2.382222e+003		2.940220e+002	1.160000e+003		
1.009122e+003	3.008000e+004		6.935220e+002	3.586667e+003		5.374720e+002	2.502222e+003		2.939720e+002	1.356667e+003		
