B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101499e+003	2.462000e+004		6.975490e+002	3.343333e+003		5.414990e+002	2.106667e+003		2.979990e+002	1.200000e+003		
1.100499e+003	2.596000e+004		6.974990e+002	3.576667e+003		5.414490e+002	2.160000e+003		2.979490e+002	1.133333e+003		
1.099499e+003	2.553000e+004		6.974490e+002	3.443333e+003		5.413990e+002	2.166667e+003		2.978990e+002	1.090000e+003		
1.098499e+003	2.505000e+004		6.973990e+002	3.260000e+003		5.413490e+002	2.160000e+003		2.978490e+002	1.093333e+003		
1.097499e+003	2.515000e+004		6.973490e+002	3.286667e+003		5.412990e+002	2.042222e+003		2.977990e+002	1.040000e+003		
1.096499e+003	2.563000e+004		6.972990e+002	3.310000e+003		5.412490e+002	2.095556e+003		2.977490e+002	1.143333e+003		
1.095499e+003	2.519000e+004		6.972490e+002	3.206667e+003		5.411990e+002	2.111111e+003		2.976990e+002	1.076667e+003		
1.094499e+003	2.550000e+004		6.971990e+002	3.306667e+003		5.411490e+002	2.097778e+003		2.976490e+002	1.126667e+003		
1.093499e+003	2.565000e+004		6.971490e+002	3.270000e+003		5.410990e+002	2.104444e+003		2.975990e+002	1.083333e+003		
1.092499e+003	2.568000e+004		6.970990e+002	3.410000e+003		5.410490e+002	2.068889e+003		2.975490e+002	1.056667e+003		
1.091499e+003	2.583000e+004		6.970490e+002	3.210000e+003		5.409990e+002	2.093333e+003		2.974990e+002	1.043333e+003		
1.090499e+003	2.528000e+004		6.969990e+002	3.213333e+003		5.409490e+002	2.108889e+003		2.974490e+002	9.866667e+002		
1.089499e+003	2.538000e+004		6.969490e+002	3.293333e+003		5.408990e+002	2.126667e+003		2.973990e+002	1.060000e+003		
1.088499e+003	2.623000e+004		6.968990e+002	3.220000e+003		5.408490e+002	2.215556e+003		2.973490e+002	1.066667e+003		
1.087499e+003	2.640000e+004		6.968490e+002	3.150000e+003		5.407990e+002	2.080000e+003		2.972990e+002	1.096667e+003		
1.086499e+003	2.526000e+004		6.967990e+002	3.126667e+003		5.407490e+002	2.075556e+003		2.972490e+002	1.043333e+003		
1.085499e+003	2.472000e+004		6.967490e+002	3.096667e+003		5.406990e+002	1.973333e+003		2.971990e+002	1.053333e+003		
1.084499e+003	2.529000e+004		6.966990e+002	3.213333e+003		5.406490e+002	2.015556e+003		2.971490e+002	9.900000e+002		
1.083499e+003	2.553000e+004		6.966490e+002	3.156667e+003		5.405990e+002	2.073333e+003		2.970990e+002	1.010000e+003		
1.082499e+003	2.591000e+004		6.965990e+002	3.200000e+003		5.405490e+002	2.108889e+003		2.970490e+002	1.080000e+003		
1.081499e+003	2.573000e+004		6.965490e+002	3.153333e+003		5.404990e+002	2.095556e+003		2.969990e+002	1.073333e+003		
1.080499e+003	2.528000e+004		6.964990e+002	3.080000e+003		5.404490e+002	2.120000e+003		2.969490e+002	1.063333e+003		
1.079499e+003	2.486000e+004		6.964490e+002	2.993333e+003		5.403990e+002	2.113333e+003		2.968990e+002	1.003333e+003		
1.078499e+003	2.515000e+004		6.963990e+002	3.096667e+003		5.403490e+002	2.006667e+003		2.968490e+002	9.933333e+002		
1.077499e+003	2.590000e+004		6.963490e+002	3.086667e+003		5.402990e+002	2.031111e+003		2.967990e+002	1.133333e+003		
1.076499e+003	2.543000e+004		6.962990e+002	3.136667e+003		5.402490e+002	2.080000e+003		2.967490e+002	1.066667e+003		
1.075499e+003	2.582000e+004		6.962490e+002	3.160000e+003		5.401990e+002	2.035556e+003		2.966990e+002	9.566667e+002		
1.074499e+003	2.559000e+004		6.961990e+002	2.970000e+003		5.401490e+002	2.057778e+003		2.966490e+002	9.400000e+002		
1.073499e+003	2.563000e+004		6.961490e+002	3.113333e+003		5.400990e+002	1.977778e+003		2.965990e+002	9.366667e+002		
1.072499e+003	2.543000e+004		6.960990e+002	3.053333e+003		5.400490e+002	2.093333e+003		2.965490e+002	9.400000e+002		
1.071499e+003	2.533000e+004		6.960490e+002	3.050000e+003		5.399990e+002	2.093333e+003		2.964990e+002	9.800000e+002		
1.070499e+003	2.579000e+004		6.959990e+002	3.046667e+003		5.399490e+002	2.051111e+003		2.964490e+002	1.030000e+003		
1.069499e+003	2.600000e+004		6.959490e+002	3.033333e+003		5.398990e+002	2.031111e+003		2.963990e+002	1.063333e+003		
1.068499e+003	2.553000e+004		6.958990e+002	2.970000e+003		5.398490e+002	1.960000e+003		2.963490e+002	1.000000e+003		
1.067499e+003	2.670000e+004		6.958490e+002	3.010000e+003		5.397990e+002	2.135556e+003		2.962990e+002	9.300000e+002		
1.066499e+003	2.561000e+004		6.957990e+002	2.916667e+003		5.397490e+002	2.044444e+003		2.962490e+002	9.733333e+002		
1.065499e+003	2.580000e+004		6.957490e+002	2.790000e+003		5.396990e+002	2.071111e+003		2.961990e+002	1.016667e+003		
1.064499e+003	2.565000e+004		6.956990e+002	3.020000e+003		5.396490e+002	2.037778e+003		2.961490e+002	9.666667e+002		
1.063499e+003	2.569000e+004		6.956490e+002	3.103333e+003		5.395990e+002	2.124444e+003		2.960990e+002	1.026667e+003		
1.062499e+003	2.585000e+004		6.955990e+002	2.933333e+003		5.395490e+002	2.108889e+003		2.960490e+002	1.036667e+003		
1.061499e+003	2.589000e+004		6.955490e+002	2.860000e+003		5.394990e+002	2.013333e+003		2.959990e+002	1.060000e+003		
1.060499e+003	2.589000e+004		6.954990e+002	2.833333e+003		5.394490e+002	2.051111e+003		2.959490e+002	1.003333e+003		
1.059499e+003	2.584000e+004		6.954490e+002	2.876667e+003		5.393990e+002	2.151111e+003		2.958990e+002	9.033333e+002		
1.058499e+003	2.621000e+004		6.953990e+002	2.900000e+003		5.393490e+002	2.042222e+003		2.958490e+002	9.833333e+002		
1.057499e+003	2.611000e+004		6.953490e+002	2.956667e+003		5.392990e+002	2.153333e+003		2.957990e+002	9.866667e+002		
1.056499e+003	2.566000e+004		6.952990e+002	2.850000e+003		5.392490e+002	2.086667e+003		2.957490e+002	9.400000e+002		
1.055499e+003	2.537000e+004		6.952490e+002	3.006667e+003		5.391990e+002	2.055556e+003		2.956990e+002	9.333333e+002		
1.054499e+003	2.545000e+004		6.951990e+002	2.850000e+003		5.391490e+002	2.095556e+003		2.956490e+002	9.733333e+002		
1.053499e+003	2.549000e+004		6.951490e+002	2.973333e+003		5.390990e+002	2.091111e+003		2.955990e+002	1.060000e+003		
1.052499e+003	2.498000e+004		6.950990e+002	2.883333e+003		5.390490e+002	2.077778e+003		2.955490e+002	9.700000e+002		
1.051499e+003	2.594000e+004		6.950490e+002	2.820000e+003		5.389990e+002	2.122222e+003		2.954990e+002	9.166667e+002		
1.050499e+003	2.638000e+004		6.949990e+002	3.036667e+003		5.389490e+002	2.095556e+003		2.954490e+002	9.533333e+002		
1.049499e+003	2.665000e+004		6.949490e+002	2.973333e+003		5.388990e+002	2.171111e+003		2.953990e+002	1.013333e+003		
1.048499e+003	2.594000e+004		6.948990e+002	2.866667e+003		5.388490e+002	2.246667e+003		2.953490e+002	9.000000e+002		
1.047499e+003	2.545000e+004		6.948490e+002	2.913333e+003		5.387990e+002	2.062222e+003		2.952990e+002	9.100000e+002		
1.046499e+003	2.567000e+004		6.947990e+002	2.910000e+003		5.387490e+002	2.180000e+003		2.952490e+002	9.533333e+002		
1.045499e+003	2.652000e+004		6.947490e+002	2.986667e+003		5.386990e+002	2.142222e+003		2.951990e+002	9.333333e+002		
1.044499e+003	2.630000e+004		6.946990e+002	3.183333e+003		5.386490e+002	2.122222e+003		2.951490e+002	9.900000e+002		
1.043499e+003	2.585000e+004		6.946490e+002	3.083333e+003		5.385990e+002	2.113333e+003		2.950990e+002	1.046667e+003		
1.042499e+003	2.619000e+004		6.945990e+002	2.956667e+003		5.385490e+002	2.086667e+003		2.950490e+002	9.533333e+002		
1.041499e+003	2.682000e+004		6.945490e+002	2.983333e+003		5.384990e+002	2.071111e+003		2.949990e+002	9.466667e+002		
1.040499e+003	2.656000e+004		6.944990e+002	3.036667e+003		5.384490e+002	2.046667e+003		2.949490e+002	9.000000e+002		
1.039499e+003	2.663000e+004		6.944490e+002	2.980000e+003		5.383990e+002	2.011111e+003		2.948990e+002	9.233333e+002		
1.038499e+003	2.689000e+004		6.943990e+002	2.980000e+003		5.383490e+002	2.088889e+003		2.948490e+002	1.013333e+003		
1.037499e+003	2.730000e+004		6.943490e+002	3.036667e+003		5.382990e+002	2.093333e+003		2.947990e+002	9.800000e+002		
1.036499e+003	2.659000e+004		6.942990e+002	2.963333e+003		5.382490e+002	2.111111e+003		2.947490e+002	9.066667e+002		
1.035499e+003	2.625000e+004		6.942490e+002	3.033333e+003		5.381990e+002	2.188889e+003		2.946990e+002	9.800000e+002		
1.034499e+003	2.657000e+004		6.941990e+002	2.956667e+003		5.381490e+002	2.082222e+003		2.946490e+002	9.433333e+002		
1.033499e+003	2.702000e+004		6.941490e+002	3.163333e+003		5.380990e+002	2.157778e+003		2.945990e+002	9.666667e+002		
1.032499e+003	2.679000e+004		6.940990e+002	2.986667e+003		5.380490e+002	2.188889e+003		2.945490e+002	1.056667e+003		
1.031499e+003	2.616000e+004		6.940490e+002	3.093333e+003		5.379990e+002	2.135556e+003		2.944990e+002	9.166667e+002		
1.030499e+003	2.621000e+004		6.939990e+002	3.043333e+003		5.379490e+002	2.113333e+003		2.944490e+002	9.166667e+002		
