B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.053309e+003	1.580000e+004		6.949590e+002	3.503333e+003		5.389090e+002	1.960000e+003		2.954090e+002	7.533333e+002		
1.052309e+003	1.554000e+004		6.949090e+002	3.340000e+003		5.388590e+002	1.931111e+003		2.953590e+002	7.933333e+002		
1.051309e+003	1.547000e+004		6.948590e+002	3.330000e+003		5.388090e+002	1.960000e+003		2.953090e+002	8.666667e+002		
1.050309e+003	1.592000e+004		6.948090e+002	3.433333e+003		5.387590e+002	1.988889e+003		2.952590e+002	8.733333e+002		
1.049309e+003	1.617000e+004		6.947590e+002	3.373333e+003		5.387090e+002	1.933333e+003		2.952090e+002	9.233333e+002		
1.048309e+003	1.584000e+004		6.947090e+002	3.310000e+003		5.386590e+002	1.942222e+003		2.951590e+002	8.100000e+002		
1.047309e+003	1.555000e+004		6.946590e+002	3.353333e+003		5.386090e+002	1.986667e+003		2.951090e+002	8.600000e+002		
1.046309e+003	1.555000e+004		6.946090e+002	3.583333e+003		5.385590e+002	1.944444e+003		2.950590e+002	8.566667e+002		
1.045309e+003	1.549000e+004		6.945590e+002	3.380000e+003		5.385090e+002	1.995556e+003		2.950090e+002	8.100000e+002		
1.044309e+003	1.560000e+004		6.945090e+002	3.430000e+003		5.384590e+002	1.860000e+003		2.949590e+002	8.600000e+002		
1.043309e+003	1.634000e+004		6.944590e+002	3.376667e+003		5.384090e+002	1.995556e+003		2.949090e+002	9.166667e+002		
1.042309e+003	1.653000e+004		6.944090e+002	3.413333e+003		5.383590e+002	1.931111e+003		2.948590e+002	7.833333e+002		
1.041309e+003	1.606000e+004		6.943590e+002	3.513333e+003		5.383090e+002	2.093333e+003		2.948090e+002	8.366667e+002		
1.040309e+003	1.617000e+004		6.943090e+002	3.420000e+003		5.382590e+002	2.068889e+003		2.947590e+002	8.466667e+002		
1.039309e+003	1.620000e+004		6.942590e+002	3.380000e+003		5.382090e+002	1.993333e+003		2.947090e+002	9.000000e+002		
1.038309e+003	1.598000e+004		6.942090e+002	3.446667e+003		5.381590e+002	2.060000e+003		2.946590e+002	8.366667e+002		
1.037309e+003	1.612000e+004		6.941590e+002	3.493333e+003		5.381090e+002	2.031111e+003		2.946090e+002	9.000000e+002		
1.036309e+003	1.645000e+004		6.941090e+002	3.390000e+003		5.380590e+002	2.031111e+003		2.945590e+002	9.366667e+002		
1.035309e+003	1.614000e+004		6.940590e+002	3.353333e+003		5.380090e+002	1.982222e+003		2.945090e+002	9.166667e+002		
1.034309e+003	1.641000e+004		6.940090e+002	3.510000e+003		5.379590e+002	2.220000e+003		2.944590e+002	1.020000e+003		
1.033309e+003	1.629000e+004		6.939590e+002	3.426667e+003		5.379090e+002	2.124444e+003		2.944090e+002	9.900000e+002		
1.032309e+003	1.608000e+004		6.939090e+002	3.603333e+003		5.378590e+002	2.042222e+003		2.943590e+002	1.040000e+003		
1.031309e+003	1.607000e+004		6.938590e+002	3.460000e+003		5.378090e+002	2.140000e+003		2.943090e+002	9.533333e+002		
1.030309e+003	1.621000e+004		6.938090e+002	3.436667e+003		5.377590e+002	2.262222e+003		2.942590e+002	1.033333e+003		
1.029309e+003	1.640000e+004		6.937590e+002	3.320000e+003		5.377090e+002	2.200000e+003		2.942090e+002	9.833333e+002		
1.028309e+003	1.608000e+004		6.937090e+002	3.483333e+003		5.376590e+002	2.284444e+003		2.941590e+002	1.166667e+003		
1.027309e+003	1.638000e+004		6.936590e+002	3.543333e+003		5.376090e+002	2.295556e+003		2.941090e+002	1.150000e+003		
1.026309e+003	1.631000e+004		6.936090e+002	3.683333e+003		5.375590e+002	2.364444e+003		2.940590e+002	1.143333e+003		
1.025309e+003	1.636000e+004		6.935590e+002	3.640000e+003		5.375090e+002	2.413333e+003		2.940090e+002	1.053333e+003		
1.024309e+003	1.601000e+004		6.935090e+002	3.523333e+003		5.374590e+002	2.404444e+003		2.939590e+002	1.233333e+003		
1.023309e+003	1.639000e+004		6.934590e+002	3.680000e+003		5.374090e+002	2.364444e+003		2.939090e+002	1.203333e+003		
1.022309e+003	1.652000e+004		6.934090e+002	3.680000e+003		5.373590e+002	2.457778e+003		2.938590e+002	1.146667e+003		
1.021309e+003	1.644000e+004		6.933590e+002	3.516667e+003		5.373090e+002	2.482222e+003		2.938090e+002	1.263333e+003		
