B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.102095e+003	3.179000e+004		6.981450e+002	4.806667e+003		5.420950e+002	2.806667e+003		2.985950e+002	1.710000e+003		
1.101095e+003	3.272000e+004		6.980950e+002	4.900000e+003		5.420450e+002	2.788889e+003		2.985450e+002	1.580000e+003		
1.100095e+003	3.340000e+004		6.980450e+002	4.816667e+003		5.419950e+002	2.762222e+003		2.984950e+002	1.603333e+003		
1.099095e+003	3.259000e+004		6.979950e+002	4.730000e+003		5.419450e+002	2.695556e+003		2.984450e+002	1.626667e+003		
1.098095e+003	3.232000e+004		6.979450e+002	4.783333e+003		5.418950e+002	2.693333e+003		2.983950e+002	1.623333e+003		
1.097095e+003	3.307000e+004		6.978950e+002	4.776667e+003		5.418450e+002	2.784444e+003		2.983450e+002	1.503333e+003		
1.096095e+003	3.225000e+004		6.978450e+002	4.710000e+003		5.417950e+002	2.740000e+003		2.982950e+002	1.470000e+003		
1.095095e+003	3.258000e+004		6.977950e+002	4.436667e+003		5.417450e+002	2.735556e+003		2.982450e+002	1.516667e+003		
1.094095e+003	3.364000e+004		6.977450e+002	4.676667e+003		5.416950e+002	2.642222e+003		2.981950e+002	1.633333e+003		
1.093095e+003	3.318000e+004		6.976950e+002	4.720000e+003		5.416450e+002	2.726667e+003		2.981450e+002	1.510000e+003		
1.092095e+003	3.310000e+004		6.976450e+002	4.506667e+003		5.415950e+002	2.775556e+003		2.980950e+002	1.403333e+003		
1.091095e+003	3.329000e+004		6.975950e+002	4.470000e+003		5.415450e+002	2.855556e+003		2.980450e+002	1.416667e+003		
1.090095e+003	3.343000e+004		6.975450e+002	4.586667e+003		5.414950e+002	2.744444e+003		2.979950e+002	1.473333e+003		
1.089095e+003	3.358000e+004		6.974950e+002	4.613333e+003		5.414450e+002	2.735556e+003		2.979450e+002	1.563333e+003		
1.088095e+003	3.290000e+004		6.974450e+002	4.573333e+003		5.413950e+002	2.655556e+003		2.978950e+002	1.480000e+003		
1.087095e+003	3.405000e+004		6.973950e+002	4.480000e+003		5.413450e+002	2.677778e+003		2.978450e+002	1.490000e+003		
1.086095e+003	3.299000e+004		6.973450e+002	4.646667e+003		5.412950e+002	2.777778e+003		2.977950e+002	1.513333e+003		
1.085095e+003	3.299000e+004		6.972950e+002	4.366667e+003		5.412450e+002	2.704444e+003		2.977450e+002	1.590000e+003		
1.084095e+003	3.203000e+004		6.972450e+002	4.443333e+003		5.411950e+002	2.726667e+003		2.976950e+002	1.430000e+003		
1.083095e+003	3.239000e+004		6.971950e+002	4.413333e+003		5.411450e+002	2.693333e+003		2.976450e+002	1.413333e+003		
1.082095e+003	3.225000e+004		6.971450e+002	4.390000e+003		5.410950e+002	2.800000e+003		2.975950e+002	1.456667e+003		
1.081095e+003	3.236000e+004		6.970950e+002	4.213333e+003		5.410450e+002	2.746667e+003		2.975450e+002	1.523333e+003		
1.080095e+003	3.308000e+004		6.970450e+002	4.033333e+003		5.409950e+002	2.715556e+003		2.974950e+002	1.433333e+003		
1.079095e+003	3.360000e+004		6.969950e+002	4.243333e+003		5.409450e+002	2.711111e+003		2.974450e+002	1.496667e+003		
1.078095e+003	3.256000e+004		6.969450e+002	4.276667e+003		5.408950e+002	2.671111e+003		2.973950e+002	1.323333e+003		
1.077095e+003	3.253000e+004		6.968950e+002	4.280000e+003		5.408450e+002	2.686667e+003		2.973450e+002	1.556667e+003		
1.076095e+003	3.370000e+004		6.968450e+002	4.010000e+003		5.407950e+002	2.753333e+003		2.972950e+002	1.326667e+003		
1.075095e+003	3.351000e+004		6.967950e+002	4.096667e+003		5.407450e+002	2.844444e+003		2.972450e+002	1.430000e+003		
1.074095e+003	3.376000e+004		6.967450e+002	3.880000e+003		5.406950e+002	2.782222e+003		2.971950e+002	1.350000e+003		
1.073095e+003	3.414000e+004		6.966950e+002	3.903333e+003		5.406450e+002	2.702222e+003		2.971450e+002	1.426667e+003		
1.072095e+003	3.361000e+004		6.966450e+002	3.973333e+003		5.405950e+002	2.726667e+003		2.970950e+002	1.376667e+003		
1.071095e+003	3.376000e+004		6.965950e+002	4.003333e+003		5.405450e+002	2.664444e+003		2.970450e+002	1.403333e+003		
1.070095e+003	3.365000e+004		6.965450e+002	4.050000e+003		5.404950e+002	2.700000e+003		2.969950e+002	1.363333e+003		
1.069095e+003	3.392000e+004		6.964950e+002	3.870000e+003		5.404450e+002	2.662222e+003		2.969450e+002	1.350000e+003		
1.068095e+003	3.357000e+004		6.964450e+002	4.010000e+003		5.403950e+002	2.740000e+003		2.968950e+002	1.403333e+003		
1.067095e+003	3.369000e+004		6.963950e+002	3.940000e+003		5.403450e+002	2.668889e+003		2.968450e+002	1.333333e+003		
1.066095e+003	3.290000e+004		6.963450e+002	3.966667e+003		5.402950e+002	2.791111e+003		2.967950e+002	1.323333e+003		
1.065095e+003	3.381000e+004		6.962950e+002	3.926667e+003		5.402450e+002	2.700000e+003		2.967450e+002	1.313333e+003		
1.064095e+003	3.427000e+004		6.962450e+002	4.000000e+003		5.401950e+002	2.697778e+003		2.966950e+002	1.363333e+003		
1.063095e+003	3.382000e+004		6.961950e+002	3.893333e+003		5.401450e+002	2.733333e+003		2.966450e+002	1.366667e+003		
1.062095e+003	3.312000e+004		6.961450e+002	3.823333e+003		5.400950e+002	2.722222e+003		2.965950e+002	1.213333e+003		
1.061095e+003	3.331000e+004		6.960950e+002	3.756667e+003		5.400450e+002	2.740000e+003		2.965450e+002	1.226667e+003		
1.060095e+003	3.348000e+004		6.960450e+002	3.936667e+003		5.399950e+002	2.755556e+003		2.964950e+002	1.270000e+003		
1.059095e+003	3.357000e+004		6.959950e+002	3.906667e+003		5.399450e+002	2.755556e+003		2.964450e+002	1.176667e+003		
1.058095e+003	3.386000e+004		6.959450e+002	3.950000e+003		5.398950e+002	2.668889e+003		2.963950e+002	1.313333e+003		
1.057095e+003	3.383000e+004		6.958950e+002	3.953333e+003		5.398450e+002	2.617778e+003		2.963450e+002	1.370000e+003		
1.056095e+003	3.375000e+004		6.958450e+002	3.953333e+003		5.397950e+002	2.584444e+003		2.962950e+002	1.253333e+003		
1.055095e+003	3.375000e+004		6.957950e+002	4.060000e+003		5.397450e+002	2.755556e+003		2.962450e+002	1.243333e+003		
1.054095e+003	3.338000e+004		6.957450e+002	3.853333e+003		5.396950e+002	2.746667e+003		2.961950e+002	1.283333e+003		
1.053095e+003	3.359000e+004		6.956950e+002	3.916667e+003		5.396450e+002	2.731111e+003		2.961450e+002	1.293333e+003		
1.052095e+003	3.394000e+004		6.956450e+002	3.816667e+003		5.395950e+002	2.688889e+003		2.960950e+002	1.373333e+003		
1.051095e+003	3.305000e+004		6.955950e+002	3.633333e+003		5.395450e+002	2.731111e+003		2.960450e+002	1.256667e+003		
1.050095e+003	3.313000e+004		6.955450e+002	3.893333e+003		5.394950e+002	2.628889e+003		2.959950e+002	1.200000e+003		
