B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.102150e+003	2.898000e+004		6.982000e+002	4.326667e+003		5.421500e+002	2.362222e+003		2.986500e+002	1.446667e+003		
1.101150e+003	2.948000e+004		6.981500e+002	4.333333e+003		5.421000e+002	2.457778e+003		2.986000e+002	1.386667e+003		
1.100150e+003	2.948000e+004		6.981000e+002	4.223333e+003		5.420500e+002	2.495556e+003		2.985500e+002	1.433333e+003		
1.099150e+003	2.892000e+004		6.980500e+002	4.186667e+003		5.420000e+002	2.317778e+003		2.985000e+002	1.443333e+003		
1.098150e+003	2.935000e+004		6.980000e+002	4.316667e+003		5.419500e+002	2.435556e+003		2.984500e+002	1.276667e+003		
1.097150e+003	2.851000e+004		6.979500e+002	4.296667e+003		5.419000e+002	2.455556e+003		2.984000e+002	1.390000e+003		
1.096150e+003	2.956000e+004		6.979000e+002	4.116667e+003		5.418500e+002	2.528889e+003		2.983500e+002	1.416667e+003		
1.095150e+003	2.933000e+004		6.978500e+002	4.046667e+003		5.418000e+002	2.380000e+003		2.983000e+002	1.403333e+003		
1.094150e+003	2.970000e+004		6.978000e+002	4.010000e+003		5.417500e+002	2.353333e+003		2.982500e+002	1.420000e+003		
1.093150e+003	2.897000e+004		6.977500e+002	3.970000e+003		5.417000e+002	2.433333e+003		2.982000e+002	1.370000e+003		
1.092150e+003	2.984000e+004		6.977000e+002	3.823333e+003		5.416500e+002	2.606667e+003		2.981500e+002	1.343333e+003		
1.091150e+003	3.013000e+004		6.976500e+002	4.000000e+003		5.416000e+002	2.437778e+003		2.981000e+002	1.310000e+003		
1.090150e+003	2.952000e+004		6.976000e+002	3.903333e+003		5.415500e+002	2.384444e+003		2.980500e+002	1.290000e+003		
1.089150e+003	2.858000e+004		6.975500e+002	3.813333e+003		5.415000e+002	2.340000e+003		2.980000e+002	1.326667e+003		
1.088150e+003	2.888000e+004		6.975000e+002	3.870000e+003		5.414500e+002	2.337778e+003		2.979500e+002	1.363333e+003		
1.087150e+003	2.981000e+004		6.974500e+002	3.863333e+003		5.414000e+002	2.482222e+003		2.979000e+002	1.270000e+003		
1.086150e+003	2.962000e+004		6.974000e+002	3.936667e+003		5.413500e+002	2.426667e+003		2.978500e+002	1.250000e+003		
1.085150e+003	2.986000e+004		6.973500e+002	3.906667e+003		5.413000e+002	2.375556e+003		2.978000e+002	1.376667e+003		
1.084150e+003	2.925000e+004		6.973000e+002	3.936667e+003		5.412500e+002	2.428889e+003		2.977500e+002	1.253333e+003		
1.083150e+003	2.979000e+004		6.972500e+002	3.826667e+003		5.412000e+002	2.435556e+003		2.977000e+002	1.273333e+003		
1.082150e+003	2.923000e+004		6.972000e+002	3.780000e+003		5.411500e+002	2.446667e+003		2.976500e+002	1.283333e+003		
1.081150e+003	2.937000e+004		6.971500e+002	3.506667e+003		5.411000e+002	2.417778e+003		2.976000e+002	1.290000e+003		
1.080150e+003	2.975000e+004		6.971000e+002	3.600000e+003		5.410500e+002	2.417778e+003		2.975500e+002	1.276667e+003		
1.079150e+003	2.908000e+004		6.970500e+002	3.486667e+003		5.410000e+002	2.382222e+003		2.975000e+002	1.346667e+003		
1.078150e+003	2.887000e+004		6.970000e+002	3.820000e+003		5.409500e+002	2.362222e+003		2.974500e+002	1.116667e+003		
1.077150e+003	2.971000e+004		6.969500e+002	3.536667e+003		5.409000e+002	2.351111e+003		2.974000e+002	1.236667e+003		
1.076150e+003	3.003000e+004		6.969000e+002	3.490000e+003		5.408500e+002	2.371111e+003		2.973500e+002	1.190000e+003		
1.075150e+003	3.008000e+004		6.968500e+002	3.636667e+003		5.408000e+002	2.286667e+003		2.973000e+002	1.280000e+003		
1.074150e+003	2.986000e+004		6.968000e+002	3.583333e+003		5.407500e+002	2.395556e+003		2.972500e+002	1.266667e+003		
1.073150e+003	2.940000e+004		6.967500e+002	3.523333e+003		5.407000e+002	2.326667e+003		2.972000e+002	1.263333e+003		
1.072150e+003	2.918000e+004		6.967000e+002	3.593333e+003		5.406500e+002	2.368889e+003		2.971500e+002	1.183333e+003		
1.071150e+003	2.999000e+004		6.966500e+002	3.613333e+003		5.406000e+002	2.324444e+003		2.971000e+002	1.243333e+003		
1.070150e+003	2.960000e+004		6.966000e+002	3.576667e+003		5.405500e+002	2.420000e+003		2.970500e+002	1.113333e+003		
1.069150e+003	2.919000e+004		6.965500e+002	3.343333e+003		5.405000e+002	2.348889e+003		2.970000e+002	1.213333e+003		
