B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101417e+003	2.045000e+004		6.974670e+002	3.016667e+003		5.414170e+002	1.866667e+003		2.979170e+002	9.533333e+002		
1.100417e+003	2.017000e+004		6.974170e+002	3.096667e+003		5.413670e+002	1.844444e+003		2.978670e+002	8.300000e+002		
1.099417e+003	2.112000e+004		6.973670e+002	3.200000e+003		5.413170e+002	1.737778e+003		2.978170e+002	9.433333e+002		
1.098417e+003	2.083000e+004		6.973170e+002	3.053333e+003		5.412670e+002	1.748889e+003		2.977670e+002	9.133333e+002		
1.097417e+003	2.123000e+004		6.972670e+002	2.893333e+003		5.412170e+002	1.855556e+003		2.977170e+002	9.233333e+002		
1.096417e+003	2.128000e+004		6.972170e+002	3.046667e+003		5.411670e+002	1.831111e+003		2.976670e+002	8.766667e+002		
1.095417e+003	2.126000e+004		6.971670e+002	2.983333e+003		5.411170e+002	1.746667e+003		2.976170e+002	9.966667e+002		
1.094417e+003	2.073000e+004		6.971170e+002	2.990000e+003		5.410670e+002	1.826667e+003		2.975670e+002	8.966667e+002		
1.093417e+003	2.073000e+004		6.970670e+002	2.876667e+003		5.410170e+002	1.844444e+003		2.975170e+002	8.633333e+002		
1.092417e+003	2.126000e+004		6.970170e+002	3.050000e+003		5.409670e+002	1.880000e+003		2.974670e+002	8.900000e+002		
1.091417e+003	2.148000e+004		6.969670e+002	2.966667e+003		5.409170e+002	1.902222e+003		2.974170e+002	9.433333e+002		
1.090417e+003	2.101000e+004		6.969170e+002	2.953333e+003		5.408670e+002	1.746667e+003		2.973670e+002	8.633333e+002		
1.089417e+003	2.167000e+004		6.968670e+002	2.870000e+003		5.408170e+002	1.793333e+003		2.973170e+002	8.933333e+002		
1.088417e+003	2.169000e+004		6.968170e+002	2.780000e+003		5.407670e+002	1.746667e+003		2.972670e+002	8.266667e+002		
1.087417e+003	2.124000e+004		6.967670e+002	2.973333e+003		5.407170e+002	1.777778e+003		2.972170e+002	8.400000e+002		
1.086417e+003	2.134000e+004		6.967170e+002	2.883333e+003		5.406670e+002	1.720000e+003		2.971670e+002	8.033333e+002		
1.085417e+003	2.138000e+004		6.966670e+002	2.853333e+003		5.406170e+002	1.693333e+003		2.971170e+002	8.433333e+002		
1.084417e+003	2.151000e+004		6.966170e+002	2.986667e+003		5.405670e+002	1.740000e+003		2.970670e+002	7.533333e+002		
1.083417e+003	2.087000e+004		6.965670e+002	2.866667e+003		5.405170e+002	1.777778e+003		2.970170e+002	8.666667e+002		
1.082417e+003	2.115000e+004		6.965170e+002	2.710000e+003		5.404670e+002	1.760000e+003		2.969670e+002	8.600000e+002		
1.081417e+003	2.104000e+004		6.964670e+002	2.900000e+003		5.404170e+002	1.953333e+003		2.969170e+002	9.066667e+002		
1.080417e+003	2.099000e+004		6.964170e+002	2.673333e+003		5.403670e+002	1.771111e+003		2.968670e+002	8.000000e+002		
1.079417e+003	2.102000e+004		6.963670e+002	2.653333e+003		5.403170e+002	1.808889e+003		2.968170e+002	8.433333e+002		
1.078417e+003	2.173000e+004		6.963170e+002	2.720000e+003		5.402670e+002	1.737778e+003		2.967670e+002	8.866667e+002		
1.077417e+003	2.080000e+004		6.962670e+002	2.786667e+003		5.402170e+002	1.766667e+003		2.967170e+002	7.700000e+002		
1.076417e+003	2.108000e+004		6.962170e+002	2.800000e+003		5.401670e+002	1.773333e+003		2.966670e+002	8.433333e+002		
1.075417e+003	2.122000e+004		6.961670e+002	2.783333e+003		5.401170e+002	1.777778e+003		2.966170e+002	7.933333e+002		
1.074417e+003	2.114000e+004		6.961170e+002	2.753333e+003		5.400670e+002	1.848889e+003		2.965670e+002	8.566667e+002		
1.073417e+003	2.115000e+004		6.960670e+002	2.696667e+003		5.400170e+002	1.697778e+003		2.965170e+002	8.233333e+002		
1.072417e+003	2.156000e+004		6.960170e+002	2.850000e+003		5.399670e+002	1.753333e+003		2.964670e+002	8.600000e+002		
1.071417e+003	2.114000e+004		6.959670e+002	2.860000e+003		5.399170e+002	1.795556e+003		2.964170e+002	8.633333e+002		
1.070417e+003	2.187000e+004		6.959170e+002	2.670000e+003		5.398670e+002	1.717778e+003		2.963670e+002	8.000000e+002		
