B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101526e+003	1.566000e+004		6.975760e+002	4.083333e+003		5.415260e+002	2.722222e+003		2.980260e+002	1.326667e+003		
1.100526e+003	1.549000e+004		6.975260e+002	4.196667e+003		5.414760e+002	2.731111e+003		2.979760e+002	1.253333e+003		
1.099526e+003	1.551000e+004		6.974760e+002	4.203333e+003		5.414260e+002	2.686667e+003		2.979260e+002	1.263333e+003		
1.098526e+003	1.505000e+004		6.974260e+002	4.000000e+003		5.413760e+002	2.651111e+003		2.978760e+002	1.273333e+003		
1.097526e+003	1.540000e+004		6.973760e+002	4.050000e+003		5.413260e+002	2.602222e+003		2.978260e+002	1.293333e+003		
1.096526e+003	1.571000e+004		6.973260e+002	4.220000e+003		5.412760e+002	2.664444e+003		2.977760e+002	1.343333e+003		
1.095526e+003	1.525000e+004		6.972760e+002	4.223333e+003		5.412260e+002	2.875556e+003		2.977260e+002	1.233333e+003		
1.094526e+003	1.579000e+004		6.972260e+002	4.136667e+003		5.411760e+002	2.853333e+003		2.976760e+002	1.203333e+003		
1.093526e+003	1.563000e+004		6.971760e+002	3.933333e+003		5.411260e+002	2.700000e+003		2.976260e+002	1.320000e+003		
1.092526e+003	1.541000e+004		6.971260e+002	4.096667e+003		5.410760e+002	2.617778e+003		2.975760e+002	1.363333e+003		
1.091526e+003	1.587000e+004		6.970760e+002	4.026667e+003		5.410260e+002	2.646667e+003		2.975260e+002	1.156667e+003		
1.090526e+003	1.562000e+004		6.970260e+002	4.133333e+003		5.409760e+002	2.617778e+003		2.974760e+002	1.216667e+003		
1.089526e+003	1.575000e+004		6.969760e+002	4.140000e+003		5.409260e+002	2.593333e+003		2.974260e+002	1.223333e+003		
1.088526e+003	1.603000e+004		6.969260e+002	4.093333e+003		5.408760e+002	2.546667e+003		2.973760e+002	1.280000e+003		
1.087526e+003	1.613000e+004		6.968760e+002	4.156667e+003		5.408260e+002	2.513333e+003		2.973260e+002	1.193333e+003		
1.086526e+003	1.581000e+004		6.968260e+002	4.103333e+003		5.407760e+002	2.651111e+003		2.972760e+002	1.283333e+003		
1.085526e+003	1.488000e+004		6.967760e+002	4.200000e+003		5.407260e+002	2.715556e+003		2.972260e+002	1.263333e+003		
1.084526e+003	1.507000e+004		6.967260e+002	4.106667e+003		5.406760e+002	2.497778e+003		2.971760e+002	1.216667e+003		
1.083526e+003	1.554000e+004		6.966760e+002	4.113333e+003		5.406260e+002	2.455556e+003		2.971260e+002	1.326667e+003		
1.082526e+003	1.558000e+004		6.966260e+002	4.186667e+003		5.405760e+002	2.417778e+003		2.970760e+002	1.263333e+003		
1.081526e+003	1.526000e+004		6.965760e+002	4.386667e+003		5.405260e+002	2.382222e+003		2.970260e+002	1.236667e+003		
1.080526e+003	1.505000e+004		6.965260e+002	4.060000e+003		5.404760e+002	2.593333e+003		2.969760e+002	1.200000e+003		
1.079526e+003	1.517000e+004		6.964760e+002	4.136667e+003		5.404260e+002	2.566667e+003		2.969260e+002	1.163333e+003		
1.078526e+003	1.531000e+004		6.964260e+002	4.033333e+003		5.403760e+002	2.595556e+003		2.968760e+002	1.190000e+003		
1.077526e+003	1.559000e+004		6.963760e+002	4.056667e+003		5.403260e+002	2.497778e+003		2.968260e+002	1.143333e+003		
1.076526e+003	1.520000e+004		6.963260e+002	3.990000e+003		5.402760e+002	2.533333e+003		2.967760e+002	1.143333e+003		
1.075526e+003	1.517000e+004		6.962760e+002	4.006667e+003		5.402260e+002	2.506667e+003		2.967260e+002	1.173333e+003		
1.074526e+003	1.519000e+004		6.962260e+002	4.010000e+003		5.401760e+002	2.622222e+003		2.966760e+002	1.213333e+003		
1.073526e+003	1.581000e+004		6.961760e+002	4.150000e+003		5.401260e+002	2.697778e+003		2.966260e+002	1.133333e+003		
1.072526e+003	1.584000e+004		6.961260e+002	4.166667e+003		5.400760e+002	2.584444e+003		2.965760e+002	1.120000e+003		
1.071526e+003	1.607000e+004		6.960760e+002	4.043333e+003		5.400260e+002	2.555556e+003		2.965260e+002	1.123333e+003		
1.070526e+003	1.592000e+004		6.960260e+002	4.106667e+003		5.399760e+002	2.615556e+003		2.964760e+002	1.143333e+003		
1.069526e+003	1.534000e+004		6.959760e+002	4.016667e+003		5.399260e+002	2.626667e+003		2.964260e+002	1.260000e+003		
1.068526e+003	1.585000e+004		6.959260e+002	3.866667e+003		5.398760e+002	2.451111e+003		2.963760e+002	1.260000e+003		
1.067526e+003	1.638000e+004		6.958760e+002	3.893333e+003		5.398260e+002	2.517778e+003		2.963260e+002	1.196667e+003		
1.066526e+003	1.605000e+004		6.958260e+002	3.843333e+003		5.397760e+002	2.633333e+003		2.962760e+002	1.146667e+003		
1.065526e+003	1.582000e+004		6.957760e+002	4.020000e+003		5.397260e+002	2.546667e+003		2.962260e+002	1.150000e+003		
1.064526e+003	1.613000e+004		6.957260e+002	4.050000e+003		5.396760e+002	2.586667e+003		2.961760e+002	1.033333e+003		
1.063526e+003	1.600000e+004		6.956760e+002	4.026667e+003		5.396260e+002	2.515556e+003		2.961260e+002	9.966667e+002		
1.062526e+003	1.587000e+004		6.956260e+002	4.080000e+003		5.395760e+002	2.548889e+003		2.960760e+002	1.190000e+003		
1.061526e+003	1.559000e+004		6.955760e+002	3.970000e+003		5.395260e+002	2.513333e+003		2.960260e+002	1.166667e+003		
1.060526e+003	1.595000e+004		6.955260e+002	4.166667e+003		5.394760e+002	2.515556e+003		2.959760e+002	1.116667e+003		
1.059526e+003	1.557000e+004		6.954760e+002	4.100000e+003		5.394260e+002	2.493333e+003		2.959260e+002	1.130000e+003		
1.058526e+003	1.639000e+004		6.954260e+002	3.790000e+003		5.393760e+002	2.464444e+003		2.958760e+002	1.170000e+003		
1.057526e+003	1.621000e+004		6.953760e+002	4.160000e+003		5.393260e+002	2.504444e+003		2.958260e+002	1.156667e+003		
1.056526e+003	1.659000e+004		6.953260e+002	4.096667e+003		5.392760e+002	2.544444e+003		2.957760e+002	1.173333e+003		
1.055526e+003	1.628000e+004		6.952760e+002	4.080000e+003		5.392260e+002	2.477778e+003		2.957260e+002	1.096667e+003		
1.054526e+003	1.600000e+004		6.952260e+002	4.090000e+003		5.391760e+002	2.395556e+003		2.956760e+002	1.263333e+003		
1.053526e+003	1.574000e+004		6.951760e+002	4.103333e+003		5.391260e+002	2.424444e+003		2.956260e+002	1.156667e+003		
1.052526e+003	1.528000e+004		6.951260e+002	3.976667e+003		5.390760e+002	2.540000e+003		2.955760e+002	1.033333e+003		
1.051526e+003	1.566000e+004		6.950760e+002	4.023333e+003		5.390260e+002	2.484444e+003		2.955260e+002	1.216667e+003		
1.050526e+003	1.611000e+004		6.950260e+002	3.780000e+003		5.389760e+002	2.553333e+003		2.954760e+002	1.136667e+003		
1.049526e+003	1.583000e+004		6.949760e+002	3.883333e+003		5.389260e+002	2.520000e+003		2.954260e+002	1.143333e+003		
1.048526e+003	1.634000e+004		6.949260e+002	3.980000e+003		5.388760e+002	2.415556e+003		2.953760e+002	1.093333e+003		
