B.E.	wide/2:CPS		B.E.	F 1s/5:CPS		B.E.	O 1s/6:CPS		B.E.	C 1s/7:CPS		
1.101797e+003	2.165000e+004		6.978470e+002	3.686667e+003		5.417970e+002	2.488889e+003		2.982970e+002	1.513333e+003		
1.100797e+003	2.108000e+004		6.977970e+002	3.516667e+003		5.417470e+002	2.502222e+003		2.982470e+002	1.393333e+003		
1.099797e+003	2.145000e+004		6.977470e+002	3.806667e+003		5.416970e+002	2.460000e+003		2.981970e+002	1.333333e+003		
1.098797e+003	2.192000e+004		6.976970e+002	3.586667e+003		5.416470e+002	2.513333e+003		2.981470e+002	1.433333e+003		
1.097797e+003	2.171000e+004		6.976470e+002	3.603333e+003		5.415970e+002	2.482222e+003		2.980970e+002	1.463333e+003		
1.096797e+003	2.222000e+004		6.975970e+002	3.510000e+003		5.415470e+002	2.473333e+003		2.980470e+002	1.243333e+003		
1.095797e+003	2.201000e+004		6.975470e+002	3.590000e+003		5.414970e+002	2.502222e+003		2.979970e+002	1.386667e+003		
1.094797e+003	2.179000e+004		6.974970e+002	3.546667e+003		5.414470e+002	2.500000e+003		2.979470e+002	1.416667e+003		
1.093797e+003	2.148000e+004		6.974470e+002	3.666667e+003		5.413970e+002	2.562222e+003		2.978970e+002	1.390000e+003		
1.092797e+003	2.122000e+004		6.973970e+002	3.600000e+003		5.413470e+002	2.488889e+003		2.978470e+002	1.416667e+003		
1.091797e+003	2.160000e+004		6.973470e+002	3.646667e+003		5.412970e+002	2.426667e+003		2.977970e+002	1.286667e+003		
1.090797e+003	2.223000e+004		6.972970e+002	3.556667e+003		5.412470e+002	2.328889e+003		2.977470e+002	1.296667e+003		
1.089797e+003	2.210000e+004		6.972470e+002	3.626667e+003		5.411970e+002	2.440000e+003		2.976970e+002	1.316667e+003		
1.088797e+003	2.154000e+004		6.971970e+002	3.546667e+003		5.411470e+002	2.462222e+003		2.976470e+002	1.246667e+003		
1.087797e+003	2.164000e+004		6.971470e+002	3.543333e+003		5.410970e+002	2.497778e+003		2.975970e+002	1.370000e+003		
1.086797e+003	2.143000e+004		6.970970e+002	3.496667e+003		5.410470e+002	2.411111e+003		2.975470e+002	1.310000e+003		
1.085797e+003	2.238000e+004		6.970470e+002	3.463333e+003		5.409970e+002	2.424444e+003		2.974970e+002	1.323333e+003		
1.084797e+003	2.235000e+004		6.969970e+002	3.493333e+003		5.409470e+002	2.308889e+003		2.974470e+002	1.300000e+003		
1.083797e+003	2.203000e+004		6.969470e+002	3.446667e+003		5.408970e+002	2.446667e+003		2.973970e+002	1.276667e+003		
1.082797e+003	2.179000e+004		6.968970e+002	3.406667e+003		5.408470e+002	2.386667e+003		2.973470e+002	1.346667e+003		
1.081797e+003	2.110000e+004		6.968470e+002	3.413333e+003		5.407970e+002	2.351111e+003		2.972970e+002	1.290000e+003		
1.080797e+003	2.093000e+004		6.967970e+002	3.390000e+003		5.407470e+002	2.377778e+003		2.972470e+002	1.323333e+003		
1.079797e+003	2.106000e+004		6.967470e+002	3.343333e+003		5.406970e+002	2.313333e+003		2.971970e+002	1.353333e+003		
1.078797e+003	2.136000e+004		6.966970e+002	3.300000e+003		5.406470e+002	2.511111e+003		2.971470e+002	1.216667e+003		
1.077797e+003	2.135000e+004		6.966470e+002	3.480000e+003		5.405970e+002	2.300000e+003		2.970970e+002	1.196667e+003		
1.076797e+003	2.152000e+004		6.965970e+002	3.666667e+003		5.405470e+002	2.404444e+003		2.970470e+002	1.176667e+003		
1.075797e+003	2.141000e+004		6.965470e+002	3.390000e+003		5.404970e+002	2.357778e+003		2.969970e+002	1.220000e+003		
