c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1202.69	283.996	5576.67	5556.15	407.473	416.728	407.473	407.473	407.473	5565.41
1202.74	283.946	5566.67	5289.28	403.251	410.55	403.251	403.251	403.251	5296.58
1202.79	283.896	5103.33	5018.7	399.405	405.17	399.405	399.405	399.405	5024.47
1202.84	283.846	4833.33	4746.73	395.777	400.31	395.777	395.777	395.777	4751.26
1202.89	283.796	4616.67	4475.6	392.323	395.867	392.323	392.323	392.323	4479.15
1202.94	283.746	4423.33	4207.51	389.024	391.778	389.024	389.024	389.024	4210.26
1202.99	283.696	4016.67	3944.6	386.055	388.203	386.055	386.055	386.055	3946.75
1203.04	283.646	3803.33	3688.29	383.259	384.924	383.259	383.259	383.259	3689.95
1203.09	283.596	3503.33	3440.02	380.706	381.988	380.706	380.706	380.706	3441.31
1203.14	283.546	3326.67	3200.88	378.295	379.278	378.295	378.295	378.295	3201.87
1203.19	283.496	3056.67	2971.89	376.103	376.859	376.103	376.103	376.103	2972.64
1203.24	283.446	2743.33	2753.8	374.166	374.743	374.166	374.166	374.166	2754.38
1203.29	283.396	2566.67	2547.06	372.372	372.81	372.372	372.372	372.372	2547.5
1203.34	283.346	2243.33	2352.13	370.841	371.172	370.841	370.841	370.841	2352.46
1203.39	283.296	2030	2169.11	369.483	369.734	369.483	369.483	369.483	2169.36
1203.44	283.246	1976.67	1997.92	368.168	368.357	368.168	368.168	368.168	1998.11
1203.49	283.196	1653.33	1838.68	367.116	367.257	367.116	367.116	367.116	1838.83
1203.54	283.146	1593.33	1690.99	366.112	366.218	366.112	366.112	366.112	1691.1
1203.59	283.096	1353.33	1554.69	365.305	365.383	365.305	365.305	365.305	1554.77
1203.64	283.046	1276.67	1429.27	364.559	364.617	364.559	364.559	364.559	1429.33
1203.69	282.996	1276.67	1314.24	363.812	363.855	363.812	363.812	363.812	1314.28
1203.74	282.946	1080	1209.27	363.226	363.258	363.226	363.226	363.226	1209.3
1203.79	282.896	1056.67	1113.7	362.659	362.682	362.659	362.659	362.659	1113.73
1203.84	282.846	993.333	1027.02	362.143	362.16	362.143	362.143	362.143	1027.04
1203.89	282.796	796.667	948.785	361.787	361.8	361.787	361.787	361.787	948.798
1203.94	282.746	750	878.606	361.47	361.478	361.47	361.47	361.47	878.615
1203.99	282.696	703.333	815.605	361.19	361.196	361.19	361.19	361.19	815.612
1204.04	282.646	540	759.302	361.043	361.048	361.043	361.043	361.043	759.306
1204.09	282.596	693.333	708.905	360.771	360.775	360.771	360.771	360.771	708.908
1204.14	282.546	560	664.137	360.608	360.611	360.608	360.608	360.608	664.14
1204.19	282.496	516.667	624.437	360.481	360.482	360.481	360.481	360.481	624.439
1204.24	282.446	583.333	589.251	360.298	360.3	360.298	360.298	360.298	589.252
1204.29	282.396	503.333	558.262	360.181	360.182	360.181	360.181	360.181	558.263
1204.34	282.346	553.333	530.956	360.023	360.024	360.023	360.023	360.023	530.956
1204.39	282.296	476.667	507.055	359.928	359.928	359.928	359.928	359.928	507.056
1204.44	282.246	463.333	486.157	359.843	359.843	359.843	359.843	359.843	486.158
1204.49	282.196	443.333	467.943	359.775	359.775	359.775	359.775	359.775	467.943
1204.54	282.146	453.333	452.09	359.698	359.698	359.698	359.698	359.698	452.09
1204.59	282.096	450	438.339	359.624	359.625	359.624	359.624	359.624	438.339
1204.64	282.046	496.667	426.403	359.512	359.512	359.512	359.512	359.512	426.403
1204.69	281.996	456.667	416.13	359.433	359.433	359.433	359.433	359.433	416.13
1204.74	281.946	433.333	407.305	359.372	359.372	359.372	359.372	359.372	407.306
1204.79	281.896	430	399.734	359.314	359.315	359.314	359.314	359.314	399.734
1204.84	281.846	416.667	393.264	359.268	359.268	359.268	359.268	359.268	393.264
1204.89	281.796	426.667	387.744	359.212	359.212	359.212	359.212	359.212	387.744
1204.94	281.746	423.333	383.066	359.16	359.16	359.16	359.16	359.16	383.066
1204.99	281.696	400	379.107	359.127	359.127	359.127	359.127	359.127	379.107
1205.04	281.646	360	375.784	359.126	359.126	359.126	359.126	359.126	375.784
1205.09	281.596	390	372.954	359.101	359.101	359.101	359.101	359.101	372.954
1205.14	281.546	426.667	370.537	359.045	359.045	359.045	359.045	359.045	370.537
1205.19	281.496	333.333	368.533	359.024	359.024	359.024	359.024	359.024	368.533
1205.24	281.446	350	366.865	359.017	359.017	359.017	359.017	359.017	366.865
1205.29	281.396	410	365.436	358.975	358.975	358.975	358.975	358.975	365.436
1205.34	281.346	373.333	364.269	358.963	358.963	358.963	358.963	358.963	364.269
1205.39	281.296	390	363.283	358.938	358.938	358.938	358.938	358.938	363.283
1205.44	281.246	353.333	362.483	358.933	358.933	358.933	358.933	358.933	362.483
1205.49	281.196	326.667	361.8	358.907	358.907	358.907	358.907	358.907	361.8
1205.54	281.146	373.333	361.246	358.895	358.895	358.895	358.895	358.895	361.246
1205.59	281.096	366.667	360.795	358.889	358.889	358.889	358.889	358.889	360.795
1205.64	281.046	336.667	338.208	336.667	336.667	336.667	336.667	336.667	338.208
1205.69	280.996	416.667	417.909	416.667	416.667	416.667	416.667	416.667	417.909
1205.74	280.946	376.667	377.666	376.667	376.667	376.667	376.667	376.667	377.666
1205.79	280.896	363.333	364.135	363.333	363.333	363.333	363.333	363.333	364.135
1205.84	280.846	336.667	337.308	336.667	336.667	336.667	336.667	336.667	337.308
1205.89	280.796	346.667	347.179	346.667	346.667	346.667	346.667	346.667	347.179
1205.94	280.746	380	380.409	380	380	380	380	380	380.409
1205.99	280.696	410	410.325	410	410	410	410	410	410.325
1206.04	280.646	393.333	393.591	393.333	393.333	393.333	393.333	393.333	393.591
1206.09	280.596	330	330.204	330	330	330	330	330	330.204
1206.14	280.546	346.667	346.828	346.667	346.667	346.667	346.667	346.667	346.828
1206.19	280.496	376.667	376.794	376.667	376.667	376.667	376.667	376.667	376.794
1206.24	280.446	370	370.1	370	370	370	370	370	370.1
1206.29	280.396	326.667	326.745	326.667	326.667	326.667	326.667	326.667	326.745
1206.34	280.346	426.667	426.728	426.667	426.667	426.667	426.667	426.667	426.728
1206.39	280.296	273.333	273.381	273.333	273.333	273.333	273.333	273.333	273.381
1206.44	280.246	273.333	273.37	273.333	273.333	273.333	273.333	273.333	273.37
1206.49	280.196	336.667	336.695	336.667	336.667	336.667	336.667	336.667	336.695
1206.54	280.146	340	340.022	340	340	340	340	340	340.022
1206.59	280.096	363.333	363.35	363.333	363.333	363.333	363.333	363.333	363.35
1206.64	280.046	390	390.013	390	390	390	390	390	390.013
1206.69	279.996	376.667	376.677	376.667	376.667	376.667	376.667	376.667	376.677
1206.74	279.946	343.333	343.341	343.333	343.333	343.333	343.333	343.333	343.341
1206.79	279.896	383.333	383.339	383.333	383.333	383.333	383.333	383.333	383.339
1206.84	279.846	350	350.004	350	350	350	350	350	350.004
1206.89	279.796	333.333	333.337	333.333	333.333	333.333	333.333	333.333	333.337
1206.94	279.746	360	360.003	360	360	360	360	360	360.003
1206.99	279.696	360	360.002	360	360	360	360	360	360.002
1207.04	279.646	303.333	303.335	303.333	303.333	303.333	303.333	303.333	303.335
1207.09	279.596	290	290.001	290	290	290	290	290	290.001
1207.14	279.546	356.667	356.667	356.667	356.667	356.667	356.667	356.667	356.667
1207.19	279.496	333.333	333.334	333.333	333.333	333.333	333.333	333.333	333.334
1207.24	279.446	323.333	323.334	323.333	323.333	323.333	323.333	323.333	323.334
1207.29	279.396	340	340	340	340	340	340	340	340
1207.34	279.346	380	380	380	380	380	380	380	380
1207.39	279.296	366.667	366.667	366.667	366.667	366.667	366.667	366.667	366.667
1207.44	279.246	330	330	330	330	330	330	330	330
1207.49	279.196	346.667	346.667	346.667	346.667	346.667	346.667	346.667	346.667
1207.54	279.146	350	350	350	350	350	350	350	350
1207.59	279.096	353.333	353.333	353.333	353.333	353.333	353.333	353.333	353.333
1207.64	279.046	376.667	376.667	376.667	376.667	376.667	376.667	376.667	376.667
1207.69	278.996	320	320	320	320	320	320	320	320
1207.74	278.946	283.333	283.333	283.333	283.333	283.333	283.333	283.333	283.333
1207.79	278.896	436.667	436.667	436.667	436.667	436.667	436.667	436.667	436.667
1207.84	278.846	363.333	363.333	363.333	363.333	363.333	363.333	363.333	363.333
1207.89	278.796	323.333	323.333	323.333	323.333	323.333	323.333	323.333	323.333
1207.94	278.746	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1207.99	278.696	290	290	290	290	290	290	290	290
1208.04	278.646	413.333	413.333	413.333	413.333	413.333	413.333	413.333	413.333
1208.09	278.596	333.333	333.333	333.333	333.333	333.333	333.333	333.333	333.333
1208.14	278.546	353.333	353.333	353.333	353.333	353.333	353.333	353.333	353.333
1208.19	278.496	363.333	363.333	363.333	363.333	363.333	363.333	363.333	363.333
1208.24	278.446	353.333	353.333	353.333	353.333	353.333	353.333	353.333	353.333
1208.29	278.396	403.333	403.333	403.333	403.333	403.333	403.333	403.333	403.333
1208.34	278.346	363.333	363.333	363.333	363.333	363.333	363.333	363.333	363.333
1208.39	278.296	300	300	300	300	300	300	300	300
1208.44	278.246	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1208.49	278.196	420	420	420	420	420	420	420	420
1208.54	278.146	333.333	333.333	333.333	333.333	333.333	333.333	333.333	333.333
1208.59	278.096	356.667	356.667	356.667	356.667	356.667	356.667	356.667	356.667
1208.64	278.046	373.333	373.333	373.333	373.333	373.333	373.333	373.333	373.333
1208.69	277.996	346.667	346.667	346.667	346.667	346.667	346.667	346.667	346.667
1208.74	277.946	366.667	366.667	366.667	366.667	366.667	366.667	366.667	366.667
1208.79	277.896	386.667	386.667	386.667	386.667	386.667	386.667	386.667	386.667
1208.84	277.846	323.333	323.333	323.333	323.333	323.333	323.333	323.333	323.333
1208.89	277.796	323.333	323.333	323.333	323.333	323.333	323.333	323.333	323.333
1208.94	277.746	316.667	316.667	316.667	316.667	316.667	316.667	316.667	316.667
1208.99	277.696	330	330	330	330	330	330	330	330
1209.04	277.646	290	290	290	290	290	290	290	290
1209.09	277.596	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1209.14	277.546	363.333	363.333	363.333	363.333	363.333	363.333	363.333	363.333
1209.19	277.496	366.667	366.667	366.667	366.667	366.667	366.667	366.667	366.667
1209.24	277.446	346.667	346.667	346.667	346.667	346.667	346.667	346.667	346.667
1209.29	277.396	330	330	330	330	330	330	330	330
1209.34	277.346	370	370	370	370	370	370	370	370
1209.39	277.296	353.333	353.333	353.333	353.333	353.333	353.333	353.333	353.333
1209.44	277.246	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1209.49	277.196	360	360	360	360	360	360	360	360
1209.54	277.146	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1209.59	277.096	333.333	333.333	333.333	333.333	333.333	333.333	333.333	333.333
1209.64	277.046	366.667	366.667	366.667	366.667	366.667	366.667	366.667	366.667
1209.69	276.996	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1209.74	276.946	316.667	316.667	316.667	316.667	316.667	316.667	316.667	316.667
1209.79	276.896	310	310	310	310	310	310	310	310
1209.84	276.846	293.333	293.333	293.333	293.333	293.333	293.333	293.333	293.333
1209.89	276.796	316.667	316.667	316.667	316.667	316.667	316.667	316.667	316.667
1209.94	276.746	356.667	356.667	356.667	356.667	356.667	356.667	356.667	356.667
1209.99	276.696	376.667	376.667	376.667	376.667	376.667	376.667	376.667	376.667
1210.04	276.646	383.333	383.333	383.333	383.333	383.333	383.333	383.333	383.333
1210.09	276.596	320	320	320	320	320	320	320	320
1210.14	276.546	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1210.19	276.496	326.667	326.667	326.667	326.667	326.667	326.667	326.667	326.667
1210.24	276.446	326.667	326.667	326.667	326.667	326.667	326.667	326.667	326.667
1210.29	276.396	270	270	270	270	270	270	270	270
1210.34	276.346	320	320	320	320	320	320	320	320
1210.39	276.296	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1210.44	276.246	326.667	326.667	326.667	326.667	326.667	326.667	326.667	326.667
1210.49	276.196	366.667	366.667	366.667	366.667	366.667	366.667	366.667	366.667
1210.54	276.146	360	360	360	360	360	360	360	360
1210.59	276.096	350	350	350	350	350	350	350	350
1210.64	276.046	336.667	336.667	336.667	336.667	336.667	336.667	336.667	336.667
1210.69	275.996	363.333	363.333	363.333	363.333	363.333	363.333	363.333	363.333
1210.74	275.946	340	340	340	340	340	340	340	340
1210.79	275.896	333.333	333.333	333.333	333.333	333.333	333.333	333.333	333.333
1210.84	275.846	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1210.89	275.796	330	330	330	330	330	330	330	330
1210.94	275.746	306.667	306.667	306.667	306.667	306.667	306.667	306.667	306.667
1210.99	275.696	340	340	340	340	340	340	340	340
1211.04	275.646	333.333	333.333	333.333	333.333	333.333	333.333	333.333	333.333
1211.09	275.596	316.667	316.667	316.667	316.667	316.667	316.667	316.667	316.667
1211.14	275.546	300	300	300	300	300	300	300	300
1211.19	275.496	330	330	330	330	330	330	330	330
1211.24	275.446	293.333	293.333	293.333	293.333	293.333	293.333	293.333	293.333
1211.29	275.396	316.667	316.667	316.667	316.667	316.667	316.667	316.667	316.667
1211.34	275.346	310	310	310	310	310	310	310	310
1211.39	275.296	343.333	343.333	343.333	343.333	343.333	343.333	343.333	343.333
1211.44	275.246	356.667	356.667	356.667	356.667	356.667	356.667	356.667	356.667
1211.49	275.196	296.667	296.667	296.667	296.667	296.667	296.667	296.667	296.667
1211.54	275.146	293.333	293.333	293.333	293.333	293.333	293.333	293.333	293.333
1211.59	275.096	380	380	380	380	380	380	380	380
